id,code,name,district_id/id,city_id/id
upz_100,55,DIANA TURBAY,l10n_co_base.localidad_18,l10n_co_base.city_11001
upz_101,46,CASTILLA,l10n_co_base.localidad_8,l10n_co_base.city_11001
upz_103,74,ENGATIVA,l10n_co_base.localidad_10,l10n_co_base.city_11001
upz_104,81,GRAN BRITALIA,l10n_co_base.localidad_8,l10n_co_base.city_11001
upz_105,84,BOSA OCCIDENTAL,l10n_co_base.localidad_7,l10n_co_base.city_11001
upz_106,16,SANTA BARBARA,l10n_co_base.localidad_1,l10n_co_base.city_11001
upz_107,70,JERUSALEM,l10n_co_base.localidad_19,l10n_co_base.city_11001
upz_108,92,LA MACARENA,l10n_co_base.localidad_3,l10n_co_base.city_11001
upz_109,110,CIUDAD SALITRE OCCIDENTAL,l10n_co_base.localidad_9,l10n_co_base.city_11001
upz_110,69,ISMAEL PERDOMO,l10n_co_base.localidad_19,l10n_co_base.city_11001
upz_111,36,SAN JOSE,l10n_co_base.localidad_18,l10n_co_base.city_11001
upz_113,11,SAN CRISTOBAL NORTE,l10n_co_base.localidad_1,l10n_co_base.city_11001
upz_114,9,VERBENAL,l10n_co_base.localidad_1,l10n_co_base.city_11001
upz_116,37,SANTA ISABEL,l10n_co_base.localidad_14,l10n_co_base.city_11001
upz_117,22,DOCE DE OCTUBRE,l10n_co_base.localidad_12,l10n_co_base.city_11001
upz_118,43,SAN RAFAEL,l10n_co_base.localidad_16,l10n_co_base.city_11001
upz_119,17,SAN JOSE DE BAVARIA,l10n_co_base.localidad_11,l10n_co_base.city_11001
