id,city_id/id,district_id/id,name,code
barrio_106201,l10n_co_base.city_11001,localidad_9,EL PANTANO,106201
barrio_106201,l10n_co_base.city_11001,localidad_10,EL PANTANO,106201
barrio_106301,l10n_co_base.city_11001,localidad_10,ENGATIVA EL DORADO,106301
barrio_107101,l10n_co_base.city_11001,localidad_11,GUAYMARAL,107101
barrio_107102,l10n_co_base.city_11001,localidad_11,CASABLANCA SUBA,107102
barrio_107106,l10n_co_base.city_11001,localidad_11,TUNA RURAL,107106
barrio_107107,l10n_co_base.city_11001,localidad_11,LAS MERCEDES SUBA RURAL,107107
barrio_107109,l10n_co_base.city_11001,localidad_11,BARAJAS NORTE,107109
barrio_107110,l10n_co_base.city_11001,localidad_11,CASABLANCA SUBA I,107110
barrio_107111,l10n_co_base.city_11001,localidad_11,CASABLANCA SUBA II,107111
barrio_107112,l10n_co_base.city_11001,localidad_11,LA LOMITA,107112
barrio_108101,l10n_co_base.city_11001,localidad_1,TORCA RURAL I,108101
barrio_108102,l10n_co_base.city_11001,localidad_1,TIBABITA RURAL,108102
barrio_108102,l10n_co_base.city_11001,localidad_11,TIBABITA RURAL,108102
barrio_108103,l10n_co_base.city_11001,localidad_1,BARRANCAS ORIENTAL,108103
barrio_108104,l10n_co_base.city_11001,localidad_1,PARAMO,108104
barrio_108104,l10n_co_base.city_11001,localidad_2,PARAMO,108104
barrio_108108,l10n_co_base.city_11001,localidad_2,PARAMO II,108108
barrio_108109,l10n_co_base.city_11001,localidad_2,PARAMO I,108109
barrio_108110,l10n_co_base.city_11001,localidad_1,TORCA RURAL II,108110
barrio_108110,l10n_co_base.city_11001,localidad_11,TORCA RURAL II,108110
barrio_108111,l10n_co_base.city_11001,localidad_1,TIBABITA RURAL I,108111
barrio_108112,l10n_co_base.city_11001,localidad_1,PARAMO II RURAL,108112
barrio_108113,l10n_co_base.city_11001,localidad_1,BOSQUE DE PINOS III RURAL,108113
barrio_108114,l10n_co_base.city_11001,localidad_1,PARAMO III RURAL,108114
