,id,domain,description,chart_template_id:id,type_tax_use,name,sequence,amount,parent_id:id,child_depend,price_include,type,account_collected_id:id,account_paid_id:id,base_code_id:id,tax_code_id:id,ref_base_code_id:id,ref_tax_code_id:id,ref_base_sign,ref_tax_sign,base_sign,tax_sign
033,tax_iiva_16bv_SCI,iva,IVA16b>SI,l10n_co_chart_template_generic,Sale,IVA (16%) BIEN SOCEDAD COMMERCIO INTERNACIONAL -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_B1600_V_SCI_B,atctn_iva_B1600_V_SCI_V,atctn_iva_B1600_V_SCI_DB,atctn_iva_B1600_V_SCI_DV,-1,-1,1,1
034,tax_iiva_16sv,iva,IVA16S>,l10n_co_chart_template_generic,Sale,IVA  16%  SERV - OUT,,0.16,,,,percent,co_puc_240805,co_puc_240805,atctn_iva_S1600_V_NAT_B,atctn_iva_S1600_V_NAT_V,atctn_iva_S1600_V_NAT_DB,atctn_iva_S1600_V_NAT_DV,-1,-1,1,1
035,tax_iiva_16sv_EXT,iva,IVA16S>EX,l10n_co_chart_template_generic,Sale,IVA (16%) SERV EXTERIOR -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_S1600_V_EXT_B,atctn_iva_S1600_V_EXT_V,atctn_iva_S1600_V_EXT_DB,atctn_iva_S1600_V_EXT_DV,-1,-1,1,1
036,tax_iiva_16sv_ZFR,iva,IVA16S>ZF,l10n_co_chart_template_generic,Sale,IVA (16%) SERV ZONA FRANCA -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_S1600_V_ZFR_B,atctn_iva_S1600_V_ZFR_V,atctn_iva_S1600_V_ZFR_DB,atctn_iva_S1600_V_ZFR_DV,-1,-1,1,1
037,tax_iiva_16sv_SCI,iva,IVA16S>SI,l10n_co_chart_template_generic,Sale,IVA (16%) SERV SOCEDAD COMMERCIO INTERNACIONAL -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_S1600_V_SCI_B,atctn_iva_S1600_V_SCI_V,atctn_iva_S1600_V_SCI_DB,atctn_iva_S1600_V_SCI_DV,-1,-1,1,1
038,tax_iiva_exe_bv,iva,IVAeeB>,l10n_co_chart_template_generic,Sale,IVA EXENT BIEN - OUT,,0.00,,,,percent,,,atctn_iva_Bexen_V_NAT_B,atctn_iva_Bexen_V_NAT_V,atctn_iva_Bexen_V_NAT_DB,atctn_iva_Bexen_V_NAT_DV,-1,-1,1,1
039,tax_iiva_exe_bv_EXT,iva,IVAeeB>EX,l10n_co_chart_template_generic,Sale,IVA EXENT BIEN EXTERIOR - OUT,,0.00,,,,percent,,,atctn_iva_Bexen_V_EXT_B,atctn_iva_Bexen_V_EXT_V,atctn_iva_Bexen_V_EXT_DB,atctn_iva_Bexen_V_EXT_DV,-1,-1,1,1
040,tax_iiva_exe_bv_ZFR,iva,IVAeeB>ZF,l10n_co_chart_template_generic,Sale,IVA EXENT BIEN ZONA FRANCA - OUT,,0.00,,,,percent,,,atctn_iva_Bexen_V_ZFR_B,atctn_iva_Bexen_V_ZFR_V,atctn_iva_Bexen_V_ZFR_DB,atctn_iva_Bexen_V_ZFR_DV,-1,-1,1,1
041,tax_iiva_exe_bv_SCI,iva,IVAeeB>SI,l10n_co_chart_template_generic,Sale,IVA EXENT BIEN SOCEDAD COMMERCIO INTERNACIONAL - OUT,,0.00,,,,percent,,,atctn_iva_Bexen_V_SCI_B,atctn_iva_Bexen_V_SCI_V,atctn_iva_Bexen_V_SCI_DB,atctn_iva_Bexen_V_SCI_DV,-1,-1,1,1
042,tax_iiva_exe_sv,iva,IVAeeS>,l10n_co_chart_template_generic,Sale,IVA EXENT SERV - OUT,,0.00,,,,percent,,,atctn_iva_Sexen_V_NAT_B,atctn_iva_Sexen_V_NAT_V,atctn_iva_Sexen_V_NAT_DB,atctn_iva_Sexen_V_NAT_DV,-1,-1,1,1
043,tax_iiva_exe_sv_EXT,iva,IVAeeS>EX,l10n_co_chart_template_generic,Sale,IVA EXENT SERV EXTERIOR - OUT,,0.00,,,,percent,,,atctn_iva_Sexen_V_EXT_B,atctn_iva_Sexen_V_EXT_V,atctn_iva_Sexen_V_EXT_DB,atctn_iva_Sexen_V_EXT_DV,-1,-1,1,1
044,tax_iiva_exe_sv_ZFR,iva,IVAeeS>ZF,l10n_co_chart_template_generic,Sale,IVA EXENT SERV ZONA FRANCA - OUT,,0.00,,,,percent,,,atctn_iva_Sexen_V_ZFR_B,atctn_iva_Sexen_V_ZFR_V,atctn_iva_Sexen_V_ZFR_DB,atctn_iva_Sexen_V_ZFR_DV,-1,-1,1,1
045,tax_iiva_exe_sv_SCI,iva,IVAeeS>SI,l10n_co_chart_template_generic,Sale,IVA EXENT SERV SOCEDAD COMMERCIO INTERNACIONAL - OUT,,0.00,,,,percent,,,atctn_iva_Sexen_V_SCI_B,atctn_iva_Sexen_V_SCI_V,atctn_iva_Sexen_V_SCI_DB,atctn_iva_Sexen_V_SCI_DV,-1,-1,1,1
046,tax_iiva_exc_bv,iva,IVAecB>,l10n_co_chart_template_generic,Sale,IVA EXCLU BIEN - OUT,,0.00,,,,percent,,,atctn_iva_Bexcl_V_NAT_B,atctn_iva_Bexcl_V_NAT_V,atctn_iva_Bexcl_V_NAT_DB,atctn_iva_Bexcl_V_NAT_DV,-1,-1,1,1
047,tax_iiva_exc_bv_EXT,iva,IVAecB>EX,l10n_co_chart_template_generic,Sale,IVA EXCLU BIEN EXTERIOR - OUT,,0.00,,,,percent,,,atctn_iva_Bexcl_V_EXT_B,atctn_iva_Bexcl_V_EXT_V,atctn_iva_Bexcl_V_EXT_DB,atctn_iva_Bexcl_V_EXT_DV,-1,-1,1,1
048,tax_iiva_exc_bv_ZFR,iva,IVAecB>ZF,l10n_co_chart_template_generic,Sale,IVA EXCLU BIEN ZONA FRANCA - OUT,,0.00,,,,percent,,,atctn_iva_Bexcl_V_ZFR_B,atctn_iva_Bexcl_V_ZFR_V,atctn_iva_Bexcl_V_ZFR_DB,atctn_iva_Bexcl_V_ZFR_DV,-1,-1,1,1
049,tax_iiva_exc_bv_SCI,iva,IVAecB>SI,l10n_co_chart_template_generic,Sale,IVA EXCLU BIEN SOCEDAD COMMERCIO INTERNACIONAL - OUT,,0.00,,,,percent,,,atctn_iva_Bexcl_V_SCI_B,atctn_iva_Bexcl_V_SCI_V,atctn_iva_Bexcl_V_SCI_DB,atctn_iva_Bexcl_V_SCI_DV,-1,-1,1,1
050,tax_iiva_exc_sv,iva,IVAecS>,l10n_co_chart_template_generic,Sale,IVA EXCLU SERV - OUT,,0.00,,,,percent,,,atctn_iva_Sexcl_V_NAT_B,atctn_iva_Sexcl_V_NAT_V,atctn_iva_Sexcl_V_NAT_DB,atctn_iva_Sexcl_V_NAT_DV,-1,-1,1,1
051,tax_iiva_exc_sv_EXT,iva,IVAecS>EX,l10n_co_chart_template_generic,Sale,IVA EXCLU SERV EXTERIOR - OUT,,0.00,,,,percent,,,atctn_iva_Sexcl_V_EXT_B,atctn_iva_Sexcl_V_EXT_V,atctn_iva_Sexcl_V_EXT_DB,atctn_iva_Sexcl_V_EXT_DV,-1,-1,1,1
052,tax_iiva_exc_sv_ZFR,iva,IVAecS>ZF,l10n_co_chart_template_generic,Sale,IVA EXCLU SERV ZONA FRANCA - OUT,,0.00,,,,percent,,,atctn_iva_Sexcl_V_ZFR_B,atctn_iva_Sexcl_V_ZFR_V,atctn_iva_Sexcl_V_ZFR_DB,atctn_iva_Sexcl_V_ZFR_DV,-1,-1,1,1
